Topic,Dataset Name,Source,Link,Link Type,File Format,Columns,Description,File Size
Antibiotic Resistance Prediction Using Patient Data,DRIAMS – Resistance to Antibiotics (MALDI-TOF Mass Spectra),Kaggle,DRIAMS - Resistance to Antibiotics | Kaggle,page,CSV / multi-file,"MALDI-TOF spectrum bins, species, antibiotic, resistance_label (S/R/I)","A large-scale database pairing MALDI-TOF mass spectra of bacterial isolates with antibiotic susceptibility test results, enabling ML models to predict resistance directly from mass-spectrometry patient data across multiple pathogens and antibiotics.",~6 GB
Antibiotic Resistance Prediction Using Patient Data,BacBench Antibiotic Resistance DNA (Genomic Sequences),Hugging Face,macwiatrak/bacbench-antibiotic-resistance-dna · Datasets at Hugging Face,page,Parquet,"genome_id, genome_dna_sequence, antibiotic, mic_value, binary_label (resistant/susceptible)","Whole bacterial genome DNA sequences extracted from GenBank, annotated with binary resistance/susceptibility labels and MIC regression values for 56 unique antimicrobials sourced from the AST Browser, intended as a multi-scale genomics benchmark.",~20 GB
Antibiotic Resistance Prediction Using Patient Data,Antimicrobial Resistance Data – European Surveillance,Kaggle,Antimicrobial resistance data,page,CSV,"country, year, microbe, antibiotic, resistance_rate, susceptibility_rate, n_isolates","Surveillance data covering resistance rates of 7 major microbes across 28 European countries over 3 years, useful for training models that predict regional resistance trends from epidemiological and clinical covariates.",< 5 MB
Antibiotic Resistance Prediction Using Patient Data,Antibiotic Resistance in Gonorrhoea – DNA Unitigs,Kaggle,https://www.kaggle.com/datasets/nwheeler443/gono-unitigs,page,CSV,"unitig_sequence, isolate_id, azithromycin_resistance, ceftriaxone_resistance, ciprofloxacin_resistance","Segments of Neisseria gonorrhoeae bacterial DNA (unitigs) paired with antibiotic resistance labels across multiple drug classes, enabling ML models to predict resistance phenotype from genomic sequence data.",~250 MB
Antibiotic Resistance Prediction Using Patient Data,ATLAS – Antimicrobial Testing Leadership and Surveillance Database,Zenodo,https://zenodo.org/records/7486150,page,CSV,"patient_id, country, year, pathogen, antibiotic, MIC_value, susceptibility_category, infection_source, age_group, sex","An open-access clinical MIC database comprising 6.5 million susceptibility measurements for over 3,900 pathogen-antibiotic pairs from 633,000 patients across 70 countries (2004–2017), making it the only large-scale open AMR dataset that includes patient metadata.",~2 GB
Drug-Drug Interaction Detection Using ML,Drug-Drug Interactions Dataset,Kaggle,Drug-Drug Interactions,page,CSV,"drug1_name, drug2_name, interaction_type, severity, mechanism, description","A curated collection of pairwise drug-drug interactions with interaction type labels, severity ratings, and mechanism descriptions, well-suited for building multi-class DDI classification models.",~10 MB
Drug-Drug Interaction Detection Using ML,DDinter – Drug-Drug Interactions Database,Kaggle,Drug-Drug Interactions Database DDinter,page,CSV,"drug_A, drug_B, level (minor/moderate/major/contraindicated), atc_code_A, atc_code_B, mechanism, clinical_consequence","The DDinter database of clinically reviewed pairwise drug interactions labelled by severity level (minor to contraindicated), enabling ML models to learn interaction classification from drug identity and ATC class features.",~15 MB
Drug-Drug Interaction Detection Using ML,ADE Corpus V2 – Adverse Drug Event & Relation Extraction,Hugging Face,https://huggingface.co/datasets/ade-benchmark-corpus/ade_corpus_v2,page,JSON,"text (sentence), label (ADE-related: True/False), drug, adverse_effect, drug_dose","A double-annotated benchmark corpus of medical case reports used for classifying sentences as ADE-related and for extracting drug-adverse effect and drug-dose relations, widely used as a standard NLP benchmark for pharmacovigilance.",~5 MB
Drug-Drug Interaction Detection Using ML,DrugBank Multi-Typed DDI (via DD100 Benchmark),Hugging Face,IDEA-AI4S/DD100 · Datasets at Hugging Face,page,Parquet,"drug1_smiles, drug2_smiles, drug1_name, drug2_name, interaction_type, label","A multi-task drug discovery benchmark covering 100+ tasks including DrugBank multi-typed DDI, TWOSIDES polypharmacy side effects, and CYP450 interactions, designed for evaluating LLMs and ML models on pharmacological reasoning.",~500 MB
Drug-Drug Interaction Detection Using ML,TWOSIDES – Polypharmacy Drug-Drug Side Effects,Zenodo,https://zenodo.org/records/55664,page,CSV,"drug1_rxcui, drug2_rxcui, drug1_name, drug2_name, side_effect_cui, side_effect_name, proportional_reporting_ratio","A canonical polypharmacy side-effect dataset extracted from the FDA Adverse Event Reporting System, documenting statistically significant drug-drug side effects for 645 drugs and over 63,000 interacting pairs, widely used as a DDI ML benchmark.",~200 MB
