geo_accession,title,source_name_ch1,description,platform_id,organism_ch1,tissue,channel_count,characteristics_ch2,contact_address,contact_city,contact_country,contact_department,contact_email,contact_institute,contact_laboratory,contact_name,contact_state,contact_zip/postal_code,data_processing,data_row_count,extract_protocol_ch1,extract_protocol_ch2,hyb_protocol,label_ch1,label_ch2,label_protocol_ch1,label_protocol_ch2,last_update_date,molecule_ch1,molecule_ch2,organism_ch2,scan_protocol,source_name_ch2,status,submission_date,supplementary_file,taxid_ch1,taxid_ch2,type
GSM1304246,Ov_Tumor_Ref_Mix  vs. 266,106 pooled ovarian samples,ovarian serous tumor sample,GPL6480,Homo sapiens,ovarian,2,,2825 Santa Monica Blvd. Suite 200,Santa Monica,USA,Medicine,jdering@mednet.ucla.edu,UCLA School of Medicine,Translational Oncology Research,"Judy,,Dering",CA,90404,"Agilent Feature Extraced data was imported into Rosetta Resolver version 7.1.1  (Rosetta Inpharmatics LLC, Cambridge, MA). Multiple probes with the same sequence code were combined into a single value using the Rosetta Resolver error-weighted averaging method for combining repeated measures.",41000,,Total RNA extracted using Qiagen RNeasy Kit following manufacturer's protocol.,825 ng each of labeled reference mix (cy3 label) and individual sample (cy5 label) were applied to Whole Human Genome 4X44 microarrays (Agilent G4112F) using the In Situ Hybridization Kit Plus (Agilent) protocol,Cy3,Cy5,RNA were labeled with Cy3-CTP or Cy5-CTP using the Quick-Amp Labeling Kit (Agilent) following manufacturer's instructions,RNA were labeled with Cy3-CTP or Cy5-CTP using the Quick-Amp Labeling Kit (Agilent) following manufacturer's instructions,Jan 07 2015,total RNA,total RNA,Homo sapiens,Slides were read on an Agilent G2505B scanner.  All  experiments were scanned with extended dynamic range enabled.,ovarian tumor 266,Public on Jan 07 2015,Jan 09 2014,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1304nnn/GSM1304246/suppl/GSM1304246_B02_251485056511_S01_GE2-v5_95_Feb07_2_Off_1_2.txt.gz,9606,9606,RNA
GSM1304247,Ov_Tumor_Ref_Mix  vs. 270,106 pooled ovarian samples,ovarian serous tumor sample,GPL6480,Homo sapiens,ovarian,2,tcga_sampleid: TCGA-25-1870-01A-01,2825 Santa Monica Blvd. Suite 200,Santa Monica,USA,Medicine,jdering@mednet.ucla.edu,UCLA School of Medicine,Translational Oncology Research,"Judy,,Dering",CA,90404,"Agilent Feature Extraced data was imported into Rosetta Resolver version 7.1.1  (Rosetta Inpharmatics LLC, Cambridge, MA). Multiple probes with the same sequence code were combined into a single value using the Rosetta Resolver error-weighted averaging method for combining repeated measures.",41000,,Total RNA extracted using Qiagen RNeasy Kit following manufacturer's protocol.,825 ng each of labeled reference mix (cy3 label) and individual sample (cy5 label) were applied to Whole Human Genome 4X44 microarrays (Agilent G4112F) using the In Situ Hybridization Kit Plus (Agilent) protocol,Cy3,Cy5,RNA were labeled with Cy3-CTP or Cy5-CTP using the Quick-Amp Labeling Kit (Agilent) following manufacturer's instructions,RNA were labeled with Cy3-CTP or Cy5-CTP using the Quick-Amp Labeling Kit (Agilent) following manufacturer's instructions,Jan 07 2015,total RNA,total RNA,Homo sapiens,Slides were read on an Agilent G2505B scanner.  All  experiments were scanned with extended dynamic range enabled.,ovarian tumor 270,Public on Jan 07 2015,Jan 09 2014,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1304nnn/GSM1304247/suppl/GSM1304247_B02_251485056521_S01_GE2-v5_95_Feb07_2_Off_1_2.txt.gz,9606,9606,RNA
GSM1304248,Ov_Tumor_Ref_Mix  vs. 282,106 pooled ovarian samples,ovarian serous tumor sample,GPL6480,Homo sapiens,ovarian,2,,2825 Santa Monica Blvd. Suite 200,Santa Monica,USA,Medicine,jdering@mednet.ucla.edu,UCLA School of Medicine,Translational Oncology Research,"Judy,,Dering",CA,90404,"Agilent Feature Extraced data was imported into Rosetta Resolver version 7.1.1  (Rosetta Inpharmatics LLC, Cambridge, MA). Multiple probes with the same sequence code were combined into a single value using the Rosetta Resolver error-weighted averaging method for combining repeated measures.",41000,,Total RNA extracted using Qiagen RNeasy Kit following manufacturer's protocol.,825 ng each of labeled reference mix (cy3 label) and individual sample (cy5 label) were applied to Whole Human Genome 4X44 microarrays (Agilent G4112F) using the In Situ Hybridization Kit Plus (Agilent) protocol,Cy3,Cy5,RNA were labeled with Cy3-CTP or Cy5-CTP using the Quick-Amp Labeling Kit (Agilent) following manufacturer's instructions,RNA were labeled with Cy3-CTP or Cy5-CTP using the Quick-Amp Labeling Kit (Agilent) following manufacturer's instructions,Jan 07 2015,total RNA,total RNA,Homo sapiens,Slides were read on an Agilent G2505B scanner.  All  experiments were scanned with extended dynamic range enabled.,ovarian tumor 282,Public on Jan 07 2015,Jan 09 2014,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1304nnn/GSM1304248/suppl/GSM1304248_B02_251485056523_S01_GE2-v5_95_Feb07_2_Off_1_1.txt.gz,9606,9606,RNA
GSM1304249,Ov_Tumor_Ref_Mix  vs. 283,106 pooled ovarian samples,ovarian serous tumor sample,GPL6480,Homo sapiens,ovarian,2,,2825 Santa Monica Blvd. Suite 200,Santa Monica,USA,Medicine,jdering@mednet.ucla.edu,UCLA School of Medicine,Translational Oncology Research,"Judy,,Dering",CA,90404,"Agilent Feature Extraced data was imported into Rosetta Resolver version 7.1.1  (Rosetta Inpharmatics LLC, Cambridge, MA). Multiple probes with the same sequence code were combined into a single value using the Rosetta Resolver error-weighted averaging method for combining repeated measures.",41000,,Total RNA extracted using Qiagen RNeasy Kit following manufacturer's protocol.,825 ng each of labeled reference mix (cy3 label) and individual sample (cy5 label) were applied to Whole Human Genome 4X44 microarrays (Agilent G4112F) using the In Situ Hybridization Kit Plus (Agilent) protocol,Cy3,Cy5,RNA were labeled with Cy3-CTP or Cy5-CTP using the Quick-Amp Labeling Kit (Agilent) following manufacturer's instructions,RNA were labeled with Cy3-CTP or Cy5-CTP using the Quick-Amp Labeling Kit (Agilent) following manufacturer's instructions,Jan 07 2015,total RNA,total RNA,Homo sapiens,Slides were read on an Agilent G2505B scanner.  All  experiments were scanned with extended dynamic range enabled.,ovarian tumor 283,Public on Jan 07 2015,Jan 09 2014,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1304nnn/GSM1304249/suppl/GSM1304249_B02_251485056512_S01_GE2-v5_95_Feb07_2_Off_1_3.txt.gz,9606,9606,RNA
GSM1304250,Ov_Tumor_Ref_Mix  vs. 284,106 pooled ovarian samples,ovarian serous tumor sample,GPL6480,Homo sapiens,ovarian,2,,2825 Santa Monica Blvd. Suite 200,Santa Monica,USA,Medicine,jdering@mednet.ucla.edu,UCLA School of Medicine,Translational Oncology Research,"Judy,,Dering",CA,90404,"Agilent Feature Extraced data was imported into Rosetta Resolver version 7.1.1  (Rosetta Inpharmatics LLC, Cambridge, MA). Multiple probes with the same sequence code were combined into a single value using the Rosetta Resolver error-weighted averaging method for combining repeated measures.",41000,,Total RNA extracted using Qiagen RNeasy Kit following manufacturer's protocol.,825 ng each of labeled reference mix (cy3 label) and individual sample (cy5 label) were applied to Whole Human Genome 4X44 microarrays (Agilent G4112F) using the In Situ Hybridization Kit Plus (Agilent) protocol,Cy3,Cy5,RNA were labeled with Cy3-CTP or Cy5-CTP using the Quick-Amp Labeling Kit (Agilent) following manufacturer's instructions,RNA were labeled with Cy3-CTP or Cy5-CTP using the Quick-Amp Labeling Kit (Agilent) following manufacturer's instructions,Jan 07 2015,total RNA,total RNA,Homo sapiens,Slides were read on an Agilent G2505B scanner.  All  experiments were scanned with extended dynamic range enabled.,ovarian tumor 284,Public on Jan 07 2015,Jan 09 2014,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1304nnn/GSM1304250/suppl/GSM1304250_B02_251485056514_S01_GE2-v5_95_Feb07_2_Off_1_3.txt.gz,9606,9606,RNA
GSM1304251,Ov_Tumor_Ref_Mix  vs. 304,106 pooled ovarian samples,ovarian serous tumor sample,GPL6480,Homo sapiens,ovarian,2,,2825 Santa Monica Blvd. Suite 200,Santa Monica,USA,Medicine,jdering@mednet.ucla.edu,UCLA School of Medicine,Translational Oncology Research,"Judy,,Dering",CA,90404,"Agilent Feature Extraced data was imported into Rosetta Resolver version 7.1.1  (Rosetta Inpharmatics LLC, Cambridge, MA). Multiple probes with the same sequence code were combined into a single value using the Rosetta Resolver error-weighted averaging method for combining repeated measures.",41000,,Total RNA extracted using Qiagen RNeasy Kit following manufacturer's protocol.,825 ng each of labeled reference mix (cy3 label) and individual sample (cy5 label) were applied to Whole Human Genome 4X44 microarrays (Agilent G4112F) using the In Situ Hybridization Kit Plus (Agilent) protocol,Cy3,Cy5,RNA were labeled with Cy3-CTP or Cy5-CTP using the Quick-Amp Labeling Kit (Agilent) following manufacturer's instructions,RNA were labeled with Cy3-CTP or Cy5-CTP using the Quick-Amp Labeling Kit (Agilent) following manufacturer's instructions,Jan 07 2015,total RNA,total RNA,Homo sapiens,Slides were read on an Agilent G2505B scanner.  All  experiments were scanned with extended dynamic range enabled.,ovarian tumor 304,Public on Jan 07 2015,Jan 09 2014,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1304nnn/GSM1304251/suppl/GSM1304251_B02_251485056510_S01_GE2-v5_95_Feb07_2_Off_1_4.txt.gz,9606,9606,RNA
GSM1304252,Ov_Tumor_Ref_Mix  vs. 305,106 pooled ovarian samples,ovarian serous tumor sample,GPL6480,Homo sapiens,ovarian,2,,2825 Santa Monica Blvd. Suite 200,Santa Monica,USA,Medicine,jdering@mednet.ucla.edu,UCLA School of Medicine,Translational Oncology Research,"Judy,,Dering",CA,90404,"Agilent Feature Extraced data was imported into Rosetta Resolver version 7.1.1  (Rosetta Inpharmatics LLC, Cambridge, MA). Multiple probes with the same sequence code were combined into a single value using the Rosetta Resolver error-weighted averaging method for combining repeated measures.",41000,,Total RNA extracted using Qiagen RNeasy Kit following manufacturer's protocol.,825 ng each of labeled reference mix (cy3 label) and individual sample (cy5 label) were applied to Whole Human Genome 4X44 microarrays (Agilent G4112F) using the In Situ Hybridization Kit Plus (Agilent) protocol,Cy3,Cy5,RNA were labeled with Cy3-CTP or Cy5-CTP using the Quick-Amp Labeling Kit (Agilent) following manufacturer's instructions,RNA were labeled with Cy3-CTP or Cy5-CTP using the Quick-Amp Labeling Kit (Agilent) following manufacturer's instructions,Jan 07 2015,total RNA,total RNA,Homo sapiens,Slides were read on an Agilent G2505B scanner.  All  experiments were scanned with extended dynamic range enabled.,ovarian tumor 305,Public on Jan 07 2015,Jan 09 2014,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1304nnn/GSM1304252/suppl/GSM1304252_B02_251485056514_S01_GE2-v5_95_Feb07_2_Off_1_1.txt.gz,9606,9606,RNA
GSM1304253,Ov_Tumor_Ref_Mix  vs. 308,106 pooled ovarian samples,ovarian serous tumor sample,GPL6480,Homo sapiens,ovarian,2,,2825 Santa Monica Blvd. Suite 200,Santa Monica,USA,Medicine,jdering@mednet.ucla.edu,UCLA School of Medicine,Translational Oncology Research,"Judy,,Dering",CA,90404,"Agilent Feature Extraced data was imported into Rosetta Resolver version 7.1.1  (Rosetta Inpharmatics LLC, Cambridge, MA). Multiple probes with the same sequence code were combined into a single value using the Rosetta Resolver error-weighted averaging method for combining repeated measures.",41000,,Total RNA extracted using Qiagen RNeasy Kit following manufacturer's protocol.,825 ng each of labeled reference mix (cy3 label) and individual sample (cy5 label) were applied to Whole Human Genome 4X44 microarrays (Agilent G4112F) using the In Situ Hybridization Kit Plus (Agilent) protocol,Cy3,Cy5,RNA were labeled with Cy3-CTP or Cy5-CTP using the Quick-Amp Labeling Kit (Agilent) following manufacturer's instructions,RNA were labeled with Cy3-CTP or Cy5-CTP using the Quick-Amp Labeling Kit (Agilent) following manufacturer's instructions,Jan 07 2015,total RNA,total RNA,Homo sapiens,Slides were read on an Agilent G2505B scanner.  All  experiments were scanned with extended dynamic range enabled.,ovarian tumor 308,Public on Jan 07 2015,Jan 09 2014,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1304nnn/GSM1304253/suppl/GSM1304253_B02_251485056512_S01_GE2-v5_95_Feb07_2_Off_1_2.txt.gz,9606,9606,RNA
GSM1304254,Ov_Tumor_Ref_Mix  vs. 314,106 pooled ovarian samples,ovarian serous tumor sample,GPL6480,Homo sapiens,ovarian,2,,2825 Santa Monica Blvd. Suite 200,Santa Monica,USA,Medicine,jdering@mednet.ucla.edu,UCLA School of Medicine,Translational Oncology Research,"Judy,,Dering",CA,90404,"Agilent Feature Extraced data was imported into Rosetta Resolver version 7.1.1  (Rosetta Inpharmatics LLC, Cambridge, MA). Multiple probes with the same sequence code were combined into a single value using the Rosetta Resolver error-weighted averaging method for combining repeated measures.",41000,,Total RNA extracted using Qiagen RNeasy Kit following manufacturer's protocol.,825 ng each of labeled reference mix (cy3 label) and individual sample (cy5 label) were applied to Whole Human Genome 4X44 microarrays (Agilent G4112F) using the In Situ Hybridization Kit Plus (Agilent) protocol,Cy3,Cy5,RNA were labeled with Cy3-CTP or Cy5-CTP using the Quick-Amp Labeling Kit (Agilent) following manufacturer's instructions,RNA were labeled with Cy3-CTP or Cy5-CTP using the Quick-Amp Labeling Kit (Agilent) following manufacturer's instructions,Jan 07 2015,total RNA,total RNA,Homo sapiens,Slides were read on an Agilent G2505B scanner.  All  experiments were scanned with extended dynamic range enabled.,ovarian tumor 314,Public on Jan 07 2015,Jan 09 2014,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1304nnn/GSM1304254/suppl/GSM1304254_B02_251485056514_S01_GE2-v5_95_Feb07_2_Off_1_4.txt.gz,9606,9606,RNA
GSM1304255,Ov_Tumor_Ref_Mix  vs. 315,106 pooled ovarian samples,ovarian serous tumor sample,GPL6480,Homo sapiens,ovarian,2,,2825 Santa Monica Blvd. Suite 200,Santa Monica,USA,Medicine,jdering@mednet.ucla.edu,UCLA School of Medicine,Translational Oncology Research,"Judy,,Dering",CA,90404,"Agilent Feature Extraced data was imported into Rosetta Resolver version 7.1.1  (Rosetta Inpharmatics LLC, Cambridge, MA). Multiple probes with the same sequence code were combined into a single value using the Rosetta Resolver error-weighted averaging method for combining repeated measures.",41000,,Total RNA extracted using Qiagen RNeasy Kit following manufacturer's protocol.,825 ng each of labeled reference mix (cy3 label) and individual sample (cy5 label) were applied to Whole Human Genome 4X44 microarrays (Agilent G4112F) using the In Situ Hybridization Kit Plus (Agilent) protocol,Cy3,Cy5,RNA were labeled with Cy3-CTP or Cy5-CTP using the Quick-Amp Labeling Kit (Agilent) following manufacturer's instructions,RNA were labeled with Cy3-CTP or Cy5-CTP using the Quick-Amp Labeling Kit (Agilent) following manufacturer's instructions,Jan 07 2015,total RNA,total RNA,Homo sapiens,Slides were read on an Agilent G2505B scanner.  All  experiments were scanned with extended dynamic range enabled.,ovarian tumor 315,Public on Jan 07 2015,Jan 09 2014,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1304nnn/GSM1304255/suppl/GSM1304255_B02_251485056513_S01_GE2-v5_95_Feb07_2_Off_1_1.txt.gz,9606,9606,RNA
