symbol,GSM368661,GSM368662,GSM368664,GSM368665,GSM368666,GSM368667,GSM368668,GSM368670,GSM368671,GSM368673,GSM368674,GSM368675,GSM368677,GSM368678,GSM368679,GSM368680,GSM368681,GSM368682,GSM368683,GSM368685,GSM368689,GSM368690,GSM368691,GSM368692,GSM368693,GSM368694,GSM368695,GSM368696,GSM368697,GSM368698,GSM368699,GSM368700,GSM368701,GSM368703,GSM368704,GSM368705,GSM368706,GSM368707,GSM368708,GSM368709,GSM368710,GSM368711,GSM368713,GSM368714,GSM368715,GSM368716,GSM368717,GSM368719,GSM368720,GSM368721,GSM368722,GSM368723,GSM368724,GSM368725,GSM368726,GSM368727,GSM368728,GSM368729,GSM368730,GSM368731,GSM368732,GSM368734,GSM368735,GSM368736,GSM368737,GSM368738,GSM368739,GSM368740
A1CF,9.11037392,8.549282761,8.610298571,8.214093787,8.317351131,8.039878975,8.399823939,9.006327483,8.621857809,8.694823503,8.721495797,8.315902386,8.308719271,8.504699097,8.526563245,9.022945193,8.829288396,8.348772839,9.249839397,8.9581109,8.68408972,9.235672007,8.5667756,8.735958802,7.989209064,8.735436314,8.500820236,8.788651733,8.976894655,8.296286678,8.034735157,8.783319579,7.708759058,8.107028613,7.799116033,8.390861371,7.507919591,9.873882517,8.320994907,7.939890583,8.415122977,7.842062886,8.937573265,8.46841567,8.802208443,8.838191507,8.134183804,8.638738245,8.270273201,8.49920926,7.843830854,8.708539831,8.366782444,8.356261854,7.839690226,8.211902826,9.012264142,8.618508311,8.310682872,8.389887026,8.304264089,8.31897312,8.038833844,8.141770072,7.97592964,8.801014154,7.804439854,8.776534552
A2M,12.02776814,12.59346596,10.51615745,12.28323016,11.25632564,12.19379801,12.24481952,11.89673461,10.78954067,11.8567518,11.85282987,11.01506311,11.52322705,11.77451563,10.78737196,12.20048393,10.53905784,12.04635021,12.0315409,11.27057432,11.37924537,12.38349665,11.69115017,12.06958276,12.09803194,12.5515852,11.50284186,11.43866205,11.92810606,11.67445103,12.47720863,12.21494611,11.49286562,12.44120163,13.24446163,11.58626652,11.63960013,11.99112701,11.77709956,11.3745557,11.40839302,10.92733631,12.33834856,10.87575372,11.6998628,10.83423868,11.22733427,12.27120144,11.71296293,10.5470128,10.50244246,10.67894464,12.58231939,10.9794791,12.18744866,11.31774823,11.77705257,11.66743632,11.7551563,11.54592522,12.10868549,10.59575124,10.89667028,11.86381693,11.5474262,11.54333478,11.39719249,12.19301679
A4GALT,7.229284918,6.787074176,7.098357453,6.851255056,4.25332864,6.057358299,7.236938229,7.238064844,4.861716248,6.124823685,5.486311105,6.614943815,5.675491049,6.816873169,4.924166713,6.844432198,6.261208752,6.871332625,7.146668695,5.365011962,8.226782549,7.795744839,6.532674617,7.787549848,7.235352198,7.088315625,7.004542842,6.766607446,7.235490241,7.004875857,6.760276311,7.411084584,7.123939334,7.091652142,6.066789671,6.087154259,8.068988299,5.552641087,6.780966181,6.120878017,7.041681929,7.020109583,7.197056445,6.462012152,6.347109739,7.019636625,6.48752221,7.459739892,7.560962678,7.674006628,7.287809997,7.328142151,6.262231135,6.584201447,8.081479345,5.048865609,6.847412745,8.094326243,6.928203967,7.146357302,6.417494232,7.010774675,6.306741086,6.333325378,7.084736812,6.868449665,6.959929187,5.688808057
A4GNT,7.808428254,7.668763364,7.487033414,7.503836764,6.317767981,7.478741946,7.243398939,7.510524243,4.526947158,5.57206379,7.303086492,5.308381268,7.361737664,6.261196506,6.803177969,7.725437,5.744392809,6.746195379,8.358322591,7.273178598,7.178906991,7.609282403,7.700365505,7.8509231,3.570222161,5.470934125,7.006535362,8.01715589,7.486043941,7.773745481,7.356234294,7.981386351,5.743476961,7.226683933,7.042964397,7.087934249,7.232473673,8.244027551,7.700977914,7.133045705,7.258379231,6.712070416,8.417935981,7.327197503,6.844644788,7.308806184,7.25276112,7.173899222,6.637761689,7.753529236,5.873854497,7.720319943,7.516293843,7.309810355,5.547185622,7.287393974,7.477040777,7.538746277,7.681885481,7.484255906,7.055874204,6.504720226,7.529874876,7.083181303,8.759330534,7.571648682,6.235496372,7.157218572
AAAS,7.69891424,8.162965456,7.724307454,7.3184461,7.698270142,7.248838568,6.948286614,8.123705543,8.050345034,7.428186654,8.397196964,8.205658399,7.345202811,7.939382829,6.418440385,8.719002391,7.40945676,7.698011753,7.250414291,8.91016937,8.220185522,5.799924387,7.000875904,7.765886902,8.796634164,7.624044811,9.176919133,7.648303886,7.90940014,8.401031897,9.1078897,8.173785358,8.564114265,8.661353362,7.26826904,8.423362395,6.891951908,5.885409205,8.214894777,8.338293083,7.857034275,8.44423351,8.171490103,6.392255366,7.950870318,8.667342282,8.130092912,8.097600151,8.467850959,8.412971615,8.579564343,8.177336351,7.403256196,7.716305357,8.113959574,5.424469478,6.638558098,7.26085449,7.482431579,8.240815058,8.130549513,8.639808529,8.600977734,7.992107791,6.440579293,8.009306707,8.605168615,7.611402097
AACS,8.372406629,9.107949491,8.864587429,9.38995016,8.832904482,8.580457768,8.735691978,8.040518648,8.608766739,8.175006165,8.557498614,8.362856831,8.061416665,8.397488217,8.366373642,8.669950781,8.735348744,8.491403345,8.682466188,9.657474503,8.923540035,9.433268439,9.206846887,9.181604648,8.589351218,8.824964603,8.614653382,7.969941663,8.316441874,8.563122457,8.591691812,8.364077068,8.488746349,8.628914877,8.406311784,8.597996502,9.320465035,9.210057382,9.567067442,9.171426954,8.384654807,9.508568823,9.045470047,9.178193352,9.152635217,9.431809547,9.054201011,9.382933029,9.142403423,9.22578616,8.993010286,8.5355633,8.309082485,9.015418424,9.162158155,9.492864149,8.58108718,8.899383928,9.607611378,8.450526651,8.703204508,9.510807409,8.545322981,8.606973023,9.454987296,8.995352994,9.440024293,8.893786418
AADAC,8.878751981,9.346756496,9.109511703,5.482353639,6.970008307,8.512706398,8.332982528,6.389710552,8.820481438,6.658325168,7.608083922,5.501257668,10.50347807,7.04898965,7.39440234,6.941392825,6.862396862,3.610199201,8.96420038,6.069224024,8.485807585,5.710677213,9.096722073,6.206222112,4.879339537,8.823038235,4.65290625,7.217157286,6.820104003,6.418364296,5.941305692,9.768835771,10.9650687,7.376435646,4.991060818,7.761516123,7.993420581,9.331051497,8.411329047,8.672748855,7.649717715,6.622317442,9.677426862,5.200008502,4.360637603,10.38845834,4.523729694,7.555819507,8.394308672,5.66057259,7.424952196,9.658613289,8.664922022,9.918360702,6.845534508,4.426193147,8.592308316,4.613959589,8.065719272,4.919039797,5.678421732,9.181159847,4.660256482,4.206339188,6.494179148,8.044566057,8.872004599,4.529485617
AAGAB,9.000907479,8.881312796,9.006432045,8.222887168,8.683510913,9.428322628,9.07494072,8.659237361,9.339958764,8.05383416,8.687475813,9.633061196,8.718834347,9.614587981,8.649057421,9.162215052,8.689978356,8.586258441,8.741996934,8.161492336,7.7092628,8.335397653,8.088817523,8.654907647,8.681101303,8.82101052,9.122543977,8.855658367,9.260153134,8.786691099,8.534232362,8.900434215,9.447365858,8.809696478,8.853921478,8.432263131,8.515811418,8.219674465,8.517917323,8.242203224,8.523903728,8.832824919,8.399712195,8.61963216,8.62995084,9.291095897,8.900929002,8.716536182,8.936190005,9.162794117,9.415775212,9.043135984,8.650602914,9.106565375,8.672847561,9.775715375,8.901514421,7.682854216,9.05065901,8.441633621,8.852353454,9.223686036,8.223444921,8.213638625,8.56104219,8.216403079,8.854139892,9.127192127
AAK1,9.515958363,9.693823042,9.534128702,8.987912816,8.825185119,9.153805911,8.757048808,8.742287225,8.896280155,8.600685223,10.37235432,9.010299356,8.333106109,8.847652476,9.4651975,8.728805764,10.15312122,9.111482988,9.273580475,10.13998529,8.674728385,8.802369626,9.762690963,9.280851935,9.225088513,8.976250781,9.530495457,9.815898201,8.060929217,8.695240148,9.525457881,9.616895565,9.803741899,8.760031917,9.767651777,10.10838156,8.618851373,9.464011001,9.497828121,8.790469845,8.365459069,8.31706168,9.232176782,9.331230594,8.784735775,9.271930392,9.475841886,9.815929713,9.652385581,8.864918973,8.503473144,9.361513787,9.330244217,8.944618724,9.677583424,9.220297517,7.198055442,10.99307291,8.810740511,7.792555305,8.931539658,8.046264117,9.287223391,9.176920053,9.689437589,9.063330126,9.470323318,9.476180201
AAMDC,7.885371612,8.297077712,8.666247335,8.545867179,8.71030938,9.502978904,9.611495074,8.691281445,8.916816876,8.871608006,8.484898615,8.015259002,9.265670723,7.630891633,9.324812977,9.392692233,8.486818189,8.952776953,8.914318781,9.104880195,9.874628072,9.888418105,9.119306694,7.20461716,8.851032085,7.77010712,9.255979728,8.094523484,8.661562466,8.574368993,8.500916931,8.597528674,8.277536158,8.311510031,8.330879591,8.125404235,8.314104069,8.574980713,9.078251328,9.703185921,8.778505599,9.340462766,8.958472994,9.513295812,8.957960956,9.082602966,8.741615052,9.424485224,9.283159842,8.51730063,8.628281641,8.743110867,9.331586633,9.735796212,8.627398591,9.035090145,8.953906035,8.463093376,9.108081067,9.956082622,9.100163858,8.615013247,9.251488617,9.390152208,8.101434233,9.817472629,8.889886551,9.096159964
