symbol,GSM642933,GSM642935,GSM642936,GSM642937,GSM642938,GSM642939,GSM642940,GSM642941,GSM642943,GSM642944,GSM642945,GSM642946,GSM642947,GSM642948,GSM642949,GSM642951,GSM642953,GSM642955,GSM642956,GSM642957,GSM642958,GSM642959,GSM642960,GSM642961,GSM642964,GSM642966,GSM642967,GSM642968,GSM642969,GSM642972,GSM642973,GSM642974,GSM642976,GSM642978,GSM642979,GSM642980,GSM642981,GSM642983,GSM642984,GSM642985,GSM642987,GSM642988,GSM642989,GSM642991,GSM642992,GSM642994,GSM642996,GSM642997,GSM642998,GSM642999,GSM643000,GSM643002,GSM643006,GSM643007,GSM643008,GSM643009,GSM643010,GSM643011,GSM643012,GSM643014,GSM643015,GSM643016,GSM643017,GSM643019,GSM643020,GSM643022,GSM643024,GSM643026,GSM643027,GSM643028,GSM643029,GSM643030,GSM643031,GSM643032,GSM643033,GSM643035,GSM643036,GSM643037,GSM643038
A1BG,1.88786,1.8757,2.19155,1.93231,1.86437,1.88086,1.86321,1.85035,1.89479,1.91171,1.8464,2.12337,1.84675,1.93139,1.98697,1.84391,1.99986,2.02299,1.95574,1.88407,2.01674,1.85078,1.82332,1.91125,1.82674,1.89099,1.87266,1.87887,2.57282,1.92468,1.89503,1.90457,1.90173,1.92798,1.89514,1.90831,1.83436,1.92068,1.89064,1.91652,1.9717,1.88755,1.9042,1.9099,1.89311,1.91097,2.90389,2.23808,1.90824,1.88485,1.84071,1.99694,2.3298,1.89486,1.85224,1.93078,1.90323,1.93889,3.40785,1.93535,2.00083,1.88711,1.88829,1.777,2.00284,2.03509,1.88171,1.93369,1.9423,2.00197,1.90515,1.92285,1.8931,1.93228,1.90857,1.8791,1.88256,1.8872,1.90286
A1BG-AS1,2.43577,2.41071,2.40639,2.39438,2.36628,2.41654,2.92399,2.41292,2.42525,2.41815,2.40079,2.46686,2.38886,2.48402,2.51496,2.45308,2.30535,2.37588,2.52327,2.46065,2.5451,2.46794,2.32351,2.47239,2.44682,2.40533,2.39049,2.42344,2.43984,2.50622,2.47725,2.51709,2.47809,2.74824,2.64389,2.5123,2.42574,2.49575,2.48079,2.50856,2.44964,2.4698,2.47558,2.48082,2.48416,2.51466,2.50001,2.50042,2.44493,2.47385,2.45221,2.34947,2.86427,2.54672,2.35197,2.50696,2.40798,2.50772,2.48037,2.46401,2.4916,2.32553,2.46645,2.43003,2.51319,2.48503,2.40488,2.51069,2.5495,2.57763,2.48624,2.46523,2.50629,2.49133,2.49226,2.35923,2.47478,2.48975,2.47843
A1CF,3.01501,2.94058,3.37951,2.82687,2.96055,2.96927,3.3128,2.98253,3.01607,3.07451,3.01735,2.97819,3.0018,2.9893,3.01959,2.94127,2.84658,2.89296,2.94991,2.99349,3.02602,3.0267,3.10718,2.92161,2.99204,3.03343,3.02434,3.02578,2.90493,3.03565,3.04737,2.99202,3.08657,3.0275,3.39137,2.98837,3.50749,2.95858,3.14654,2.99892,2.9501,2.9162,3.03676,2.98949,3.19953,3.05571,3.00273,2.98978,3.04464,2.99594,2.99088,3.05583,3.00788,3.15297,3.0004,3.04851,3.03309,3.04912,3.03233,3.05226,2.93742,3.03534,2.98698,3.04204,2.94614,3.06074,2.97985,3.11903,3.03319,3.36028,3.03188,2.97133,3.15365,3.48375,2.99349,3.00626,3.11493,3.15854,3.10172
A2M,10.7301,11.0648,11.6265,10.6676,9.89843,11.8508,11.1422,10.101,10.752,12.4199,10.4036,10.9006,10.8382,11.0436,10.5025,10.8473,10.5747,11.5537,9.62419,11.1958,9.7286,9.29166,10.8073,11.6728,10.2108,10.5597,9.89736,10.2734,10.1602,10.1827,9.61898,10.4044,11.152,10.9887,11.5963,11.4762,11.1347,9.02436,10.3134,9.18317,10.3,11.2843,10.7188,11.0691,11.5798,11.5475,11.1318,10.7892,10.2614,11.0689,10.3605,10.3561,12.748,9.61193,12.7321,11.5275,10.5254,10.2312,9.57319,11.834,11.563,9.47951,10.7078,9.74326,9.29252,10.6367,11.4381,10.2554,10.3241,10.8202,10.7778,10.7813,11.326,10.8971,9.68959,11.998,11.7047,10.4577,10.3907
A2M-AS1,2.31042,5.09899,2.8287,3.02773,4.83736,3.31196,4.12439,3.69679,3.24107,3.58446,3.46759,3.50907,3.60707,4.31399,3.07604,3.45515,3.89061,4.70857,2.67457,3.0681,3.21513,3.07889,3.43915,4.82962,4.2875,3.04965,3.65722,3.57716,4.13239,6.83908,3.53143,5.94278,5.1033,4.53625,4.24569,3.52536,3.45679,2.66948,4.40889,5.48227,4.07178,4.31883,2.93613,2.45015,3.32811,5.39656,4.47519,5.091,6.17631,4.40101,3.34118,3.25524,4.34305,2.75468,3.6047,4.27172,3.54389,3.08784,3.28719,3.41888,4.33842,4.11818,4.78337,3.35694,4.28398,4.21627,4.69812,4.01118,5.20929,6.00642,3.72198,4.57686,4.95832,3.54464,2.75063,3.9076,4.21504,4.6126,2.92904
A2ML1,2.72238,2.73644,2.729,2.69504,2.62601,5.81765,2.73062,2.73341,2.73724,2.95568,2.73033,2.6632,2.69877,2.68768,2.7261,3.53292,2.60536,2.68338,2.68446,2.76117,2.77895,2.68354,4.6033,2.6723,2.73527,2.65248,4.76855,2.71092,2.71329,4.14461,4.15411,2.97553,2.77658,2.7643,2.7329,2.87761,4.26494,2.88704,2.86977,2.79863,2.70172,2.67651,5.30762,2.74324,2.75511,6.11602,2.80024,2.89547,2.72153,2.76087,2.68136,2.7393,7.44829,2.8108,2.91254,3.09961,2.88076,2.79416,2.64943,2.63088,6.12678,2.72845,2.77179,2.69361,2.79368,2.78449,2.70759,2.77504,2.78636,3.17581,2.77683,2.73591,2.96228,2.814,2.72601,2.63276,6.4183,2.94673,2.76878
A2MP1,2.30567,2.28745,2.37668,2.28536,2.31184,2.32294,2.33896,2.35973,2.31577,2.31032,2.36938,2.35697,2.29925,2.32513,2.32784,2.33532,2.34097,2.36112,2.37355,2.33802,2.42294,2.35979,2.50279,2.28882,2.34896,2.37539,2.41959,2.34144,2.34768,2.34158,2.3645,2.50975,2.38827,2.31807,2.47586,2.34809,3.28834,2.30988,2.47636,2.362,2.30583,2.31721,2.34338,2.27746,2.34899,2.34046,2.378,2.34097,2.358,2.29227,2.3011,2.48436,2.31595,2.3981,2.49857,2.318,2.39396,2.33642,2.46711,2.36643,2.3149,2.49159,2.3285,2.37598,2.31456,2.35124,2.28762,2.34578,2.32492,2.36233,2.35319,2.27927,2.41285,2.34381,2.32863,2.38816,2.31705,2.32836,2.33321
A4GALT,2.02673,2.35068,2.87966,2.47403,2.05621,2.55383,2.06657,3.89153,2.05834,2.07573,2.31999,2.04036,2.53233,2.13569,2.11215,2.05788,2.03044,2.00113,2.1185,2.16673,2.19583,2.08697,2.1544,2.05133,2.14066,1.97592,2.02695,2.03678,2.06188,2.06003,2.52849,2.04209,2.29997,2.13811,3.79209,2.22556,2.0353,2.03475,2.14603,2.02589,2.04257,2.10129,2.02466,2.16039,2.17151,2.49296,2.2091,2.08205,2.0036,2.74855,2.08126,2.2249,2.07144,2.87398,2.17331,2.11097,2.11379,2.13789,1.96871,2.01192,2.06187,2.08306,2.03677,2.02366,2.05228,2.05591,2.12784,2.05192,2.12798,2.12442,2.10534,2.11891,2.17252,2.95558,3.47962,2.37398,2.15112,2.11299,2.13339
A4GNT,2.09659,2.06688,2.14609,2.05426,2.07891,2.31621,2.09721,2.22478,2.09411,2.11244,2.41393,2.10904,2.09329,2.10435,2.08562,2.12146,2.078,2.08834,3.06218,2.10999,2.12043,2.00443,2.08054,2.02668,2.04127,2.12876,2.13635,2.12933,2.06712,2.10629,2.1045,2.11585,2.12386,2.12293,2.19741,2.10403,2.08892,2.10761,2.18339,2.12734,2.09294,2.05322,2.1725,2.10712,2.26466,2.12331,2.13345,2.09432,2.08226,2.04527,2.08683,2.1415,2.0991,2.1208,2.1069,2.09564,2.10693,2.21963,2.17227,2.10721,2.04301,2.23603,2.06739,2.0907,2.10066,2.08251,2.07266,2.1078,2.07838,2.10409,2.09904,2.05982,2.16723,2.10907,2.0816,2.05034,2.3401,2.09918,2.06942
AA06,2.27407,2.25904,2.28755,2.26267,2.50494,2.30865,2.3111,2.26792,2.50678,2.28419,2.3868,2.29447,2.29279,2.243,2.35699,2.30015,2.20916,2.284,2.2062,2.54965,2.29346,2.24392,2.41263,2.22749,2.30429,2.20883,2.40144,2.3439,2.28618,2.27049,2.30608,2.31561,2.30235,2.27736,2.24554,2.41693,2.21523,2.26095,2.40123,2.26521,2.29482,2.31967,2.29092,2.29473,2.37135,2.31698,2.50526,2.29546,2.2923,2.31692,2.28268,2.33091,2.27057,2.35611,2.36423,2.30743,2.29366,2.31401,2.37556,2.22235,2.33152,2.87896,2.26448,2.29654,2.26932,2.30053,2.26401,2.27794,2.27269,2.34633,2.28765,2.30362,2.3242,2.28253,2.28532,2.20258,2.28772,2.30106,2.30214
