symbol,GSM1559299,GSM1559300,GSM1559301,GSM1559302,GSM1559303,GSM1559304,GSM1559305,GSM1559306,GSM1559307,GSM1559308,GSM1559309,GSM1559311,GSM1559312,GSM1559313,GSM1559314,GSM1559315,GSM1559316,GSM1559317,GSM1559318,GSM1559320,GSM1559321,GSM1559322,GSM1559323,GSM1559324,GSM1559325,GSM1559326,GSM1559327,GSM1559328,GSM1559329,GSM1559330,GSM1559331,GSM1559332,GSM1559333,GSM1559334,GSM1559335,GSM1559336,GSM1559337,GSM1559338,GSM1559339,GSM1559341,GSM1559342,GSM1559343,GSM1559344,GSM1559345,GSM1559346,GSM1559347,GSM1559348,GSM1559349,GSM1559350,GSM1559351,GSM1559353,GSM1559354,GSM1559355,GSM1559356,GSM1559357,GSM1559358,GSM1559359,GSM1559360,GSM1559361,GSM1559362,GSM1559364,GSM1559365,GSM1559366,GSM1559367,GSM1559368,GSM1559369,GSM1559370,GSM1559371,GSM1559372,GSM1559373
A1BG,6.891501607,7.110210163,6.120389051,6.278863226,5.708953196,6.307413445,6.064195802,6.887694212,6.52873781,6.676620017,6.981050854,6.727671306,6.623402457,6.504976141,5.919022873,6.812450844,6.940259695,6.307813272,6.13852432,6.646643598,7.082834294,6.79491257,7.205756149,6.150291861,6.418378245,6.942103118,6.512989368,6.61666768,6.975721113,6.274243581,6.111107047,6.785706104,6.02900441,6.226384805,6.324842834,6.799432517,5.936601215,6.085296294,6.126036201,6.350333932,7.209272792,6.181380596,6.250437615,6.748906725,7.036994928,6.497012724,6.213101748,6.375099279,6.772576203,6.874771453,6.393801741,6.7972613,6.220948598,7.147054776,6.440564129,6.061794411,6.747734247,6.112174303,7.591980382,6.649331268,6.030298209,6.766613969,6.613419947,5.766496566,7.096071425,7.235090027,6.355969572,6.538473449,6.529441714,6.514000382
A1BG-AS1,7.184640695,7.056462069,6.015715642,6.924625163,6.144528163,6.435745356,7.295213461,6.646643598,6.010164082,6.352588077,7.179764179,6.402983055,6.522423565,6.464173095,6.902162694,6.786989383,6.616460919,6.106762196,6.768001531,6.737051024,7.722847542,6.632284683,7.108233,6.586925733,6.361628053,6.682533955,6.630791685,6.953734148,6.287350783,6.799982495,6.937447228,6.450071998,6.397440296,6.342257346,6.145229867,7.164944666,6.668727667,6.224777599,7.133976314,6.505586194,6.958364332,6.916113713,6.238001946,6.997279169,7.222184914,6.924976693,6.940960948,6.839003729,6.515956518,7.126833922,6.724947652,6.83001493,6.080356887,6.722204491,6.632809458,6.87179316,6.900769035,6.556275425,7.356229595,6.631291572,6.275680598,7.068813515,6.933239982,7.4472515,6.729579475,6.791622916,6.309851902,6.285866482,6.957482871,7.017399513
A1CF,7.49182018,7.66170789,7.732958074,7.465385296,7.316069881,7.731367231,7.016497887,7.30215726,7.658777803,7.777474217,7.766002817,7.723298845,7.220082592,7.602950243,7.802728517,6.948252118,7.566102997,7.406678068,7.304934655,7.414947341,6.832128039,7.131468402,7.542497405,7.557135098,7.695542081,7.466983785,7.269277502,7.265149347,7.676325813,6.974238419,7.305151307,7.73015682,7.095381306,7.469779792,7.5406003,7.312804227,7.718452891,7.688742658,7.441282791,7.405131118,7.259999913,7.741748099,7.890024323,7.21959577,7.619323513,7.17036413,7.763972384,7.583589574,7.776999968,7.702730484,7.364621497,7.830968327,7.709702308,7.599342056,7.796181624,7.611398866,7.910240521,7.560457338,7.580899051,7.109853019,7.558583231,7.668037004,7.179467155,7.073603716,7.517065134,7.489903994,7.36753463,6.908669532,7.948495253,7.358435722
A2M,11.27608922,12.35726455,11.66469231,11.82010271,13.38667773,12.39804077,12.8885011,11.8808457,11.68532008,11.98102472,11.91465958,11.84435542,11.63353265,11.51281529,10.16889289,11.02017985,11.5371423,11.38559127,11.56467986,11.58996835,11.92320768,12.08485168,12.51573683,10.53032313,12.24072848,12.71912285,10.40650855,11.98273868,12.29637561,10.74682208,12.07319131,11.66126793,12.10956664,11.64355807,11.57349253,12.53446851,11.08505171,11.92258603,12.01306481,12.20102079,12.21602817,11.96100011,11.15333144,12.06784633,10.55788502,11.01915833,11.63049665,11.44921212,12.61442779,11.94091322,12.16565381,11.74446827,12.0416014,10.81961013,12.4227077,9.972320323,11.6139499,12.28902069,11.15259121,12.52162346,12.07909355,12.09886564,10.82189717,11.28012507,11.57514073,12.59910308,12.20997453,11.86725004,11.90327129,12.08857281
A2M-AS1,6.24230904,6.654905216,6.774952754,6.427845845,6.978981619,7.272489094,6.171489847,6.487724449,7.355801858,7.225995021,5.887946034,6.534821801,7.632363117,6.981917661,6.18268843,7.273437434,6.601613907,6.948317537,5.985014611,7.648559001,7.19797714,7.099154115,6.16791643,7.237006711,7.865545194,7.659965052,7.55424037,6.765328303,6.483701156,7.286641817,6.100244666,6.74355578,7.243101541,7.827223649,6.561338958,7.528739064,6.53375255,6.965740161,6.391254961,7.157569172,6.608781247,6.819077278,7.558446268,6.63916955,6.624769025,6.52677083,7.530654953,6.987547764,6.524641648,6.20286421,6.351931106,5.997116125,6.983709422,6.05105699,7.059252775,6.367750776,6.260410513,6.922722141,7.100010462,7.462818692,7.038037659,6.304617278,7.606108712,6.057627275,7.102402113,7.940358961,7.03866323,7.667674603,7.075492319,6.718177536
A2ML1,6.09708573,6.158186066,6.3622304,6.259224662,6.041405252,6.681809594,6.397885113,5.982577255,6.567224336,6.336015653,6.210962665,6.580344557,6.272005565,6.697331101,6.378954434,6.217622943,6.462086238,6.331529174,6.163171293,6.100811773,5.779984162,6.281934853,6.331694396,6.24510025,6.350650652,6.241319057,6.293157385,6.28596944,6.458349751,5.852114278,6.185947099,6.692183422,6.114089145,6.408339915,6.302968026,6.183257058,6.231117146,6.490744121,6.25629625,6.073229018,6.39268501,6.29942305,6.392864629,6.170269073,6.147184891,6.402295939,6.499305253,6.157757441,6.241884402,6.327453903,6.404072877,6.267418815,6.507480972,6.411832221,6.468024781,6.308083567,6.110148356,6.189422963,6.815820253,6.151005131,6.20019606,6.327831207,6.054347649,6.149558486,6.173124346,6.407770538,6.244809575,5.910892647,6.330476018,6.345141705
A2MP1,6.505597842,6.564905307,7.131233305,6.916919605,6.986773443,7.319445025,6.905706727,6.607970022,7.193691787,7.286827866,6.882243529,7.307830178,6.91722233,7.365933986,7.075097954,6.625150717,6.837679079,7.109072698,6.951637705,6.767398123,7.016758845,6.746127407,7.041237556,6.959093393,7.333913933,7.224361741,6.811153758,6.775191938,7.264971693,6.622217943,6.928983801,7.570728067,6.767752457,7.215197785,7.059654777,7.054430153,7.587619052,7.128407919,6.585883858,6.621044408,7.102669434,6.947121138,7.067891592,6.761507266,6.829949584,6.934876888,7.084145074,7.008555633,6.99487959,7.118396589,7.044580327,6.929596639,7.297303277,7.041153558,7.289188517,6.7670193,6.966532802,6.962769631,7.25962792,6.834209243,6.970956798,7.037414825,6.939615208,6.674927313,6.827636592,6.915661966,6.878774448,6.854772576,6.688854006,7.001363035
A4GALT,7.027586434,7.224820463,7.013473844,7.154083207,7.344185904,7.148390235,7.938492946,6.829980678,6.223736066,7.0514938,7.513331775,6.703851176,6.86984883,6.741343869,6.999268041,7.343458613,7.179127325,6.510996427,7.381757785,7.318596582,8.0582458,7.443300744,7.565005881,6.952985584,6.85477616,6.957696111,6.882530175,6.927174842,6.452526664,7.330403655,7.08504745,6.891390491,7.116081512,7.191257811,6.547675127,7.377648233,7.725970445,6.606912617,7.162137725,7.131751762,7.140255146,7.303582274,6.931887312,7.573264229,7.131835671,7.129580277,7.661815648,7.15964446,7.05672366,7.708727024,7.216805503,7.343927567,6.824242561,6.755262071,6.998782986,7.817568243,7.451751183,7.438821865,7.773300057,6.77090448,7.693184082,7.492856765,7.199048176,7.856739604,6.866370954,6.803454912,6.855630093,6.596597914,6.876877302,7.057983174
A4GNT,6.280258302,6.18897936,6.660576972,6.445190768,6.08346189,7.104332711,6.410002359,5.932225015,6.458109686,6.745856023,6.362728369,6.824616197,6.162979001,6.817485969,6.550816354,6.209563575,6.396841612,6.565588558,6.382876172,6.470402185,6.108527142,6.411835699,6.373972721,6.575185044,6.711308771,6.458558673,6.286891024,6.245246151,6.426699314,5.971923856,6.439000015,6.851647398,6.294155639,6.72814106,6.374166901,6.372189803,6.535591096,6.644085807,6.08952183,6.30120063,6.323652895,6.430695283,6.737822321,6.209519228,6.353669146,6.256731981,6.238659673,6.427819531,6.428722079,6.11427989,6.423183333,6.497693729,6.403872454,6.645516235,6.326605293,6.336806303,6.579272826,6.477521062,6.237612475,6.505420074,6.426399997,6.496965482,6.31552633,6.172535919,6.504789866,6.315172303,6.420530688,6.373028613,6.308914611,6.357646443
AA06,6.308015555,6.01108045,6.445184362,6.050513654,5.808969631,6.223189652,6.234050816,6.011059284,6.338040116,6.486717643,6.317405091,6.38349667,6.119378734,6.683182142,6.696351504,6.081535999,6.400898841,6.072502187,6.038529698,6.120823057,5.87597189,6.156887234,6.419801139,6.072405175,6.405926722,6.350990033,6.000578412,6.502575489,6.543972783,5.978615905,5.851824887,6.498699939,6.036971701,6.375224648,6.092245691,6.31635453,5.957242481,6.264928747,6.034740392,6.12360601,6.525621846,6.421115941,6.364829975,5.930657876,6.433017628,6.233792765,6.427024803,6.510309843,6.181114809,6.329999859,6.396173423,6.65551215,6.394064143,6.314119839,6.320035105,6.32278222,6.671914527,6.212303824,6.357291415,5.941066665,6.073563942,6.143034646,6.22353075,6.001897915,5.962252169,6.294907784,6.249408055,5.973786081,6.157658755,6.116047351
