probe	symbol
100027	ZKSCAN8
100036	ZNF532
100037	UBE2I
100039	ANAPC7
100052	CAMK1G
100057	EID3
100058	EMC6
100060	ZMYND12
100062	APOBEC3F
100064	EREG
100079	HSPD1
100089	EXD2
100093	GLI3
100100	EXOSC10
100102	AGBL2
100103	GNGT1
100111	KLK7
100120	PGD
100137	PSMB4
100145	UGT3A1
100151	KCNIP1
100159	GAB3
100160	GJB6
100172	HTT
100181	AIM2
100184	ATG13
100195	DYNC1LI1
100214	RAP2A
100215	ZNF160
100244	MPP6
100259	AGBL5
100288	AFM
100289	DEFB103B
100295	CRABP1
100297	TCAIM
100302	ALMS1
100312	SERPINA5
100313	NUDT21
100336	CYP4Z1
100340	KIAA1033
100344	PAPD7
100352	ZNF771
100356	RANBP1
100365	THAP2
100384	CYB5A
100385	ZFR
100405	CEP104
100415	FAM173B
100419	OTOGL
100426	ARSH
100430	MSH6
100431	PEX13
100436	ITGB6
100442	KLF13
100451	ZNF132
100454	PAK1IP1
100455	CENPN
100458	SLC47A1
100460	DDX24
100485	ZCCHC6
100503	SDHD
100510	JAM3
100513	LPAR1
100524	HAUS6
100529	PROM1
100537	CPT2
100543	CARD19
100547	MOSPD2
100552	ATP5F1
100566	RNF8
100569	UGT2B15
100570	ST7
100572	NPFFR2
100575	TRIM55
100583	ACTN2
100591	TMEM55B
100594	LY6K
100596	CEBPG
100628	NPY1R
100629	DYNLT1
100635	WDR89
100639	THOC1
100641	UQCRQ
100645	CCDC110
100646	CLGN
100658	CYP4B1
100659	SYT17
100664	AMZ2
100671	FBXO32
100681	SLC25A43
100687	HRASLS2
100689	BRWD1
100691	OGFOD1
100694	PHTF2
100709	MTIF3
100710	MBNL1
100719	TMEM241
100736	PLCB4
100747	CRB1
100762	LCA5
100765	FUNDC1
100771	EEF1A1
100777	GSPT1
100781	PCDH20
100801	PAX3
100812	FXYD1
100819	MTMR9
100825	FAM219B
100826	ANXA2
100837	GLT8D2
100840	BLVRA
100845	C18orf8
100857	PCF11
100884	INPP5A
100890	OSBPL10
