paper,kind,value,url,context
2020-alam-non-small-cell-lung-cancer,DOI,10.35940/ijeat.E9266.069520,https://doi.org/10.35940/ijeat.E9266.069520,…Published By: Blue Eyes Intelligence Engineering & Sciences Publication © Copyright: All rights reserved. Retrieval Number: E9266069520/2020©BEIESP DOI: 10.35940/ijeat.E9266.069520 Journal Website: www.ijeat.orgAbstract: Lung cancer is the overgrowth of cells in digestive organs. Identifying different types of lung cancer (squamous cell…
2020-alam-non-small-cell-lung-cancer,DOI,10.1016/j.csbj.2018.01.0012,https://doi.org/10.1016/j.csbj.2018.01.0012,"…hine Learning Methods for Histopathological Image Analysis”, “Computational and Structural Biotechnology Journal” 16 (2018) 34–42, DOI: https://doi.org/10.1016/j.csbj.2018.01.0012. Vaishnavi. D, Arya. K. S ,Devi Abirami. T, M. N. Kavitha, 2019. “Lung Cancer Detection using Machine Learning. International Journal of Engineering Research…"
2020-alam-non-small-cell-lung-cancer,DOI,10.1504/ijim.2015.070024.16,https://doi.org/10.1504/ijim.2015.070024.16,"…., Chakraborty, S., Salem, M.A.M., Dey, N., 2015. “Principal component analysis in medical image processing: a study” J. image Min Int https://doi.org/10.1504/ijim.2015.070024.16. Paygude, S., Vyas, V., 2019. “Unified dynamic texture segmentation system based on local and global spatiotemporal techniques” J. Reason. Intell. Syst Int. h…"
2020-alam-non-small-cell-lung-cancer,DOI,10.1109/FSKD.2018.8687220,https://doi.org/10.1109/FSKD.2018.8687220,"…d on mutual information, in: ICNC-FSKD 2018 — 14th International Conference on Natural Computation, Fuzzy Systems and Knowledge Discovery. https://doi.org/ 10.1109/FSKD.2018.8687220. 19. A. D. Belsare and M. M. Mushrif, ""Histopathological Image analysis using image processing techniques: an overview"", Signal & Image Processing : An Inter…"
2020-alam-non-small-cell-lung-cancer,DOI,10.5121/sipij.2012.3403,https://doi.org/10.5121/sipij.2012.3403,"…Image analysis using image processing techniques: an overview"", Signal & Image Processing : An International Journal (SIPIJ), Vol.3, No.4, August 2012. DOI: 10.5121/sipij.2012.3403 20. Daisuke Komura, Shumpei Ishikawa, ""Machine Learning Methods for Histopathological Image Analysis"",Computational and Structural Biotechnology Journal 1…"
2020-alam-non-small-cell-lung-cancer,DOI,10.1016/j.csbj.2018.01.001.AUTHORS,https://doi.org/10.1016/j.csbj.2018.01.001.AUTHORS,"…shikawa, ""Machine Learning Methods for Histopathological Image Analysis"",Computational and Structural Biotechnology Journal 16,2018. DOI: https://doi.org/10.1016/j.csbj.2018.01.001.AUTHORS PROFILE Md. Nur-A-Alam is an academic researcher in the Department of Computer Science and Engineering, Dhaka International University. He completed his B…"
2020-alam-non-small-cell-lung-cancer,url,https://doi.org/,https://doi.org/,"…pervised dimension reduction: a survey. Mach. Learn. Knowl. Extr. 1, 341—358. https://doi.org/ 10.33901make1010020. 13. Hamdi, M., 2012. “A comparative study in wavelets, cu…"
2020-alam-non-small-cell-lung-cancer,url,https://doi.org/10.1109/,https://doi.org/10.1109/,"…ic video using color wavelet features” Inf. Technol. Biomed IEEE Trans. https://doi.org/10.1109/ TITB.2003.813794. 15. Nandi, D., Ashour, A.S., Samanta, S., Chakraborty, S., S…"
2020-alam-non-small-cell-lung-cancer,url,https://doi.org/l,https://doi.org/l,"…al-time gastric polyp detection using convolutional neural networks” PLoS one. https://doi.org/l O. 1371 Ijournal.pone.0214133.005. 18. Zhang, Y., Ma, Y., Yang, X., 2019. Mul…"
2020-uddin-performance-comparison-of-ieee80211a-ieee80211b,DOI,10.38177/ajast.2020.4406Copyright:,https://doi.org/10.38177/ajast.2020.4406Copyright:,"…Associate Professor, Department of Computer Science and Engineering and Engineering, Dhaka International University, Dhaka, Bangladesh. DOI: http://doi.org/10.38177/ajast.2020.4406Copyright: ©2020 Khandaker MMU et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted…"
2020-uddin-performance-comparison-of-ieee80211a-ieee80211b,url,http://doi.org/10.38177/ajast.2020.4406Copyright:,http://doi.org/10.38177/ajast.2020.4406Copyright:,"…ing and Engineering, Dhaka International University, Dhaka, Bangladesh. DOI: http://doi.org/10.38177/ajast.2020.4406Copyright: ©2020 Khandaker MMU et al. This is an open access article distributed under the…"
2021-uddin-carryit-design-and-implementation-of,DOI,10.5815/ijeme.2021.03.03,https://doi.org/10.5815/ijeme.2021.03.03,"I. J. Education and Management Engineering, 2021, 3, 20-30 Published Online June 2021 in MECS (http://www.mecs-press.org/)DOI: 10.5815/ijeme.2021.03.03 This work is open access and licensed under the Creative Commons CC BY 4.0 License. Volume 11 (2021), Issue 3 CarryIT: Design and…"
